timestamp,open,high,low,close
1585671000000,1.03046,1.03104,1.03027,1.03061
1585671300000,1.03064,1.03082,1.03039,1.03067
1585671600000,1.03064,1.03098,1.03044,1.03045
1585671900000,1.0305,1.03059,1.02999,1.03002
1585672200000,1.03003,1.03038,1.02999,1.03014
1585672500000,1.03014,1.03044,1.02892,1.02915
1585672800000,1.02913,1.02975,1.02877,1.02972
1585673100000,1.02972,1.02986,1.02839,1.02855
1585673400000,1.02854,1.02921,1.02842,1.029
1585673700000,1.029,1.0291,1.02842,1.02864
1585674000000,1.02868,1.02929,1.02844,1.02924
1585674300000,1.0292,1.02968,1.02907,1.02951
1585674600000,1.02948,1.02985,1.02938,1.0295
1585674900000,1.02951,1.02982,1.0293,1.02967
1585675200000,1.02964,1.02985,1.02941,1.02962
1585675500000,1.02959,1.02984,1.02939,1.02975
1585675800000,1.02982,1.02983,1.02949,1.02968
1585676100000,1.0297,1.02974,1.02878,1.0291
1585676400000,1.02911,1.02943,1.02887,1.02923
1585676700000,1.02922,1.02927,1.02901,1.02922
1585677000000,1.02921,1.02973,1.02914,1.02957
1585677300000,1.02959,1.03002,1.02946,1.0295
1585677600000,1.02947,1.03022,1.02918,1.02989
1585677900000,1.02986,1.03053,1.02977,1.02989
1585678200000,1.0299,1.03026,1.02963,1.03009
1585678500000,1.03009,1.03042,1.02987,1.03006
1585678800000,1.03011,1.03012,1.02912,1.02921
1585679100000,1.02923,1.02958,1.02883,1.02958
1585679400000,1.02958,1.0297,1.02908,1.02923
1585679700000,1.02921,1.03016,1.02906,1.03007
1585680000000,1.03006,1.03018,1.02978,1.03003
1585680300000,1.03002,1.03047,1.02978,1.03022
1585680600000,1.03019,1.03044,1.03009,1.03028
1585680900000,1.03028,1.03184,1.02994,1.03143
1585681200000,1.03148,1.03148,1.03083,1.03103
1585681500000,1.03103,1.03143,1.03092,1.03143
1585681800000,1.03143,1.03143,1.03104,1.03128
1585682100000,1.03128,1.03147,1.03078,1.03083
1585682400000,1.03084,1.03086,1.02934,1.02945
1585682700000,1.02942,1.0297,1.02926,1.02952
1585683000000,1.02954,1.0304,1.02944,1.03036
1585683300000,1.03035,1.03081,1.02983,1.03065
1585683600000,1.03061,1.03173,1.0305,1.03143
1585683900000,1.03148,1.03214,1.03117,1.0319
1585684200000,1.0319,1.03209,1.0306,1.03073
1585684500000,1.03073,1.0309,1.03012,1.03069
1585684800000,1.03067,1.03138,1.03012,1.03013
1585685100000,1.03012,1.03079,1.03012,1.03054
1585685400000,1.03054,1.03124,1.0303,1.03095
1585685700000,1.03095,1.03097,1.03054,1.03078
1585686000000,1.03078,1.03108,1.03048,1.03064
1585686300000,1.03064,1.03076,1.0302,1.0302
1585686600000,1.0302,1.03034,1.02987,1.02995
1585686900000,1.02995,1.02997,1.02965,1.02976
1585687200000,1.02976,1.0298,1.0292,1.02956
1585687500000,1.02955,1.02983,1.02911,1.02931
1585687800000,1.02934,1.03,1.02927,1.02934
1585688100000,1.02933,1.02943,1.02822,1.02876
1585688400000,1.02876,1.02876,1.02876,1.02876
1585688700000,1.02876,1.02907,1.02869,1.02899
1585689000000,1.02899,1.03099,1.02899,1.0301
1585689300000,1.0301,1.03036,1.02722,1.02843
1585689600000,1.02842,1.02954,1.02842,1.0292
1585689900000,1.02932,1.02934,1.02842,1.02842
1585690200000,1.02843,1.02843,1.02811,1.02814
1585690500000,1.02814,1.03071,1.02814,1.02854
1585690800000,1.02924,1.03106,1.02905,1.03039
1585691100000,1.03029,1.03117,1.02835,1.03061
1585691400000,1.03012,1.03082,1.02948,1.03034
1585691700000,1.03034,1.03071,1.02876,1.02996
1585692000000,1.02996,1.03049,1.02891,1.02995
1585692300000,1.03001,1.03083,1.02967,1.03027
1585692600000,1.03027,1.03033,1.02938,1.02953
1585692900000,1.02953,1.02978,1.02856,1.02874
1585693200000,1.02874,1.02889,1.02812,1.02823
1585693500000,1.02827,1.02884,1.02791,1.02846
1585693800000,1.02845,1.02943,1.02841,1.02914
1585694100000,1.02914,1.02938,1.02844,1.02908
1585694400000,1.02912,1.02958,1.02897,1.02941
1585694700000,1.02938,1.02959,1.02899,1.02907
1585695000000,1.02907,1.03033,1.02898,1.03028
1585695300000,1.03023,1.03124,1.02997,1.03114
1585695600000,1.03118,1.03131,1.03059,1.03089
1585695900000,1.03088,1.03094,1.03056,1.03071
1585696200000,1.0306,1.03124,1.0305,1.031
1585696500000,1.03108,1.03141,1.03102,1.03115
1585696800000,1.03115,1.03127,1.03103,1.03105
1585697100000,1.03105,1.03122,1.03085,1.03095
1585697400000,1.03097,1.0311,1.03062,1.03079
1585697700000,1.03078,1.03117,1.03055,1.03114
1585698000000,1.03114,1.03146,1.03104,1.03127
1585698300000,1.0313,1.03151,1.03062,1.03067
1585698600000,1.03062,1.03108,1.03062,1.03079
1585698900000,1.03079,1.03149,1.03067,1.03149
1585785600000,1.02598,1.02639,1.02576,1.02609
1585785900000,1.02609,1.0262,1.02535,1.02554
1585786200000,1.0255,1.02594,1.02539,1.02571
1585786500000,1.02574,1.02594,1.02565,1.0259
1585786800000,1.02592,1.02632,1.02571,1.02618
1585787100000,1.02617,1.02643,1.02596,1.02616
1585787400000,1.0261,1.02632,1.02584,1.02614
1585787700000,1.02614,1.02629,1.02581,1.02595
1585788000000,1.02594,1.02611,1.02552,1.02603
1585788300000,1.02603,1.02652,1.0259,1.02627
1585788600000,1.02629,1.02631,1.02578,1.02593
1585788900000,1.02593,1.026,1.02544,1.02576
1585789200000,1.02576,1.0262,1.02565,1.02618
1585789500000,1.02611,1.0262,1.02587,1.02592
1585789800000,1.02593,1.02598,1.02554,1.02562
1585790100000,1.02562,1.02603,1.02559,1.02571
1585790400000,1.02572,1.02586,1.0255,1.0258
1585790700000,1.02576,1.02586,1.02571,1.02583
1585791000000,1.02578,1.02605,1.02572,1.02586
1585791300000,1.02586,1.0261,1.02573,1.02599
1585791600000,1.02599,1.02605,1.0258,1.02583
1585791900000,1.02585,1.02585,1.02561,1.02583
1585792200000,1.02582,1.02585,1.02552,1.02557
1585792500000,1.02556,1.02558,1.02496,1.02514
1585792800000,1.02514,1.02563,1.02507,1.02527
1585793100000,1.02523,1.02568,1.02521,1.02554
1585793400000,1.02554,1.02565,1.02532,1.02532
1585793700000,1.02532,1.0257,1.02518,1.02565
1585794000000,1.02565,1.02601,1.02559,1.02594
1585794300000,1.02594,1.02625,1.02589,1.02605
1585794600000,1.02604,1.0263,1.02595,1.02595
1585794900000,1.02606,1.02629,1.02569,1.02609
1585795200000,1.02608,1.02613,1.02532,1.0254
